"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","cloud_counter_on_start*","co2_counter_on_start*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","239","500","4.4","0.9","5","200","""470494752""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","240","500","4.4","0.9","5","200","""-782364098""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","241","500","4.4","0.55","10","0","""-389010328""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","242","500","4.4","0.55","10","0","""583414771""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","243","500","4.4","0.55","10","0","""2024858295""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","244","500","4.4","0.55","10","0","""-697368645""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","245","500","4.4","0.55","10","0","""1353873192""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","246","500","4.4","0.55","10","0","""-929286212""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","247","500","4.4","0.55","10","0","""-1523607582""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","248","500","4.4","0.55","10","0","""1787389553""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","249","500","4.4","0.55","10","0","""38557398""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","250","500","4.4","0.55","10","0","""823731320""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","251","500","0.4","0.55","13","200","""215458122""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","252","500","0.4","0.55","13","200","""-1573778264""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","253","500","0.4","0.55","13","200","""-1187670915""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","254","500","0.4","0.55","13","200","""97297518""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","255","500","0.4","0.55","13","200","""-1958428540""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","256","500","0.4","0.55","13","200","""1620494780""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","257","500","0.4","0.55","13","200","""264583399""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","258","500","0.4","0.55","13","200","""2022879284""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","259","500","0.4","0.55","13","200","""1267683303""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","260","500","0.4","0.55","13","200","""-970452118""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","261","500","1.6","0.45","19","75","""-548300120""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","262","500","1.6","0.45","19","75","""365948723""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","263","500","1.6","0.45","19","75","""-123895720""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","264","500","1.6","0.45","19","75","""-531873939""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","265","500","1.6","0.45","19","75","""-826975994""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","266","500","1.6","0.45","19","75","""1507187733""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","267","500","1.6","0.45","19","75","""1269183663""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","268","500","1.6","0.45","19","75","""1862670551""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","269","500","1.6","0.45","19","75","""1841310090""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","270","500","1.6","0.45","19","75","""1300061706""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","271","500","3.2","0.75","7","125","""1547525603""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","272","500","3.2","0.75","7","125","""-1198143836""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","273","500","3.2","0.75","7","125","""-1441849826""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","274","500","3.2","0.75","7","125","""1177638098""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","275","500","3.2","0.75","7","125","""-66457598""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","276","500","3.2","0.75","7","125","""982437510""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","277","500","3.2","0.75","7","125","""980688805""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","278","500","3.2","0.75","7","125","""61450917""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","279","500","3.2","0.75","7","125","""-147981206""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","280","500","3.2","0.75","7","125","""-1610208829""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","281","500","4.800000000000001","0.75","13","75","""978131043""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","282","500","4.800000000000001","0.75","13","75","""-1518457594""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","283","500","4.800000000000001","0.75","13","75","""2060922094""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
